director,drama_name,rank,pop,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Seo Kyung Guk,Idol in My Living Room,54000,9319,9.0,8.0,9.0,8.0,9.0
"Seo Min Jung, Lee Tae Gon",Bo Ra! Deborah,1584,644,6.9,8.4,7.1,5.5,7.0
Seong Do Joon,Happy Ending Romance,7652,1288,7.1,8.6,8.7,5.4,7.0
Seong Do Joon,Wish You: Your Melody From My Heart,5334,431,6.4,7.3,8.1,5.5,6.8
Shim Jae Hyun,Zombie Detective,1312,597,7.6,8.7,7.8,6.5,8.1
Shim Na Yeon,Beyond Evil,183,173,8.2,9.3,8.2,6.6,8.5
Shim Na Yeon,Moment at Eighteen,2010,302,6.9,7.7,7.1,6.0,6.9
Shim Na Yeon,The Good Bad Mother,75,370,7.9,9.2,7.5,6.6,8.0
Shim So Yeon,Here's My Plan,2068,2353,9.0,9.5,9.4,8.4,9.1
Shim So Yeon,May I Help You,1272,590,7.0,8.8,7.7,4.8,7.5
Shin Chang Seok,A Man in a Veil,7204,5788,5.4,6.9,5.5,4.0,5.7
Shin Chang Seok,Love to the End,6685,7843,9.0,9.0,7.5,6.5,9.0
Shin Chang Seok,Woman in a Veil,55017,8101,2.3,4.0,5.5,1.0,3.3
Shin Chang Seok,Young Lady and Gentleman,7000,1049,4.4,7.8,6.5,2.5,5.5
Shin Joo Hwan,Prince's Prince,8900,2577,8.1,8.5,7.9,7.6,8.1
Shin Kyung Soo,Doubtful Victory,5403,2370,5.3,7.3,7.3,3.2,5.8
Shin Kyung Soo,Six Flying Dragons,162,531,9.8,9.9,9.7,8.9,9.8
Shin Kyung Soo,The First Responders,278,962,9.0,9.5,8.2,8.4,9.0
Shin Kyung Soo,The Nokdu Flower,985,1515,9.5,9.5,9.0,8.0,9.3
"Shin Kyung Soo, Nam Tae Jin",Joseon Exorcist,2701,2509,8.6,8.7,8.2,6.7,8.3
Shin Won Ho,Hospital Playlist,23,49,8.1,9.0,8.3,6.4,8.2
Shin Won Ho,Hospital Playlist Season 2,17,161,7.8,9.7,8.8,7.1,8.0
Shin Won Ho,Prison Playbook,46,93,8.7,9.7,9.2,6.9,8.8
"Shin Won Ho, Yoo Hak Chan",Reply 1988,26,41,9.5,9.8,9.6,8.9,9.6
Shin Woo Cheol,Melting Me Softly,4468,142,4.2,6.6,6.4,3.4,5.0
Shin Woo Cheol,Where Stars Land,2683,283,7.2,8.1,7.5,4.8,6.5
Shin Yong Hwi,Cross,2448,2054,9.2,9.4,8.8,8.5,9.0
Shin Yong Hwi,Hide and Seek,5644,3953,6.7,7.2,7.3,5.3,6.8
"Shin Yong Hwi, Kim Jung Wook",The Great Show,3175,1895,7.6,7.6,6.9,5.4,7.1
"Shin Yong Hwi, Yoon Ra Young",Voice Season 4: Judgment Hour,969,1804,8.0,8.8,7.4,6.5,7.8
Shin Yoon Sub,Catch the Ghost,1682,578,7.2,8.0,6.8,5.1,6.8
Shin Yoon Sub,"Please Come Back, Mister",2347,418,8.1,8.7,8.0,5.6,8.0
"So Jae Hyun, Kim Hwi",Memorist,692,291,8.8,9.2,6.8,6.9,8.4
"So Jae Hyun, Lee Soo Hyun",The Witch's Diner,1869,609,7.8,8.5,7.5,6.0,8.0
So Joon Moon,Love Mate,5695,1135,7.1,8.6,7.6,5.9,7.2
So Joon Moon,My Sweet Dear,7633,659,5.2,7.5,7.1,4.9,6.1
So Joon Moon,Sing My Crush,1484,2238,8.9,9.0,9.2,8.6,9.0
So Joon Moon,You Make Me Dance,3215,313,7.7,8.5,8.2,6.2,7.9
Son Jae Gon,Strangers Again,6757,1150,6.0,8.6,6.5,4.2,6.8
Son Jung Hyun,Mental Coach Jegal,2767,3203,8.1,8.4,6.4,5.8,7.4
Son Jung Hyun,Should We Kiss First?,2821,3328,8.6,9.2,8.1,7.2,8.4
Son Jung Hyun,When My Love Blooms,3073,897,8.1,8.9,7.5,5.9,8.0
Son Jung Hyun,"Yeah, That's How It Is",5037,5827,7.7,8.2,5.4,5.6,7.8
Song Hyun Wook,Another Miss Oh,1317,146,5.7,7.9,7.0,4.6,6.5
Song Hyun Wook,Graceful Friends,5652,2720,7.8,9.5,8.0,6.7,8.3
Song Hyun Wook,Introverted Boss,3305,109,5.9,7.5,8.0,4.9,6.8
Song Hyun Wook,Meloholic,6266,1069,6.3,7.2,6.7,4.5,6.4
Song Hyun Wook,Super Daddy Yeol,4847,2309,6.7,9.0,7.8,5.2,7.8
Song Hyun Wook,The Beauty Inside,880,88,6.8,8.6,7.9,4.8,7.0
Song Hyun Wook,Undercover,2274,1917,7.3,8.5,7.5,5.7,7.5
"Song Hyun Wook, Lee Han Joon",The Golden Spoon,1903,658,7.7,9.0,8.1,5.6,7.5
"Song Hyun Wook, Lee Hyun Suk",The King's Affection,1029,225,7.0,8.5,8.0,6.1,7.2
"Song Hyun Wook, Lee Jong Jae",Revolutionary Love,5940,519,6.8,8.9,8.2,6.0,7.5
"Song Hyung Suk, Park Seung Woo",The Guardians,978,520,8.7,9.5,9.4,6.7,8.9
"Song Hyung Suk, Yoon Ji Hoon",Shine or Go Crazy,3958,1632,7.3,8.6,8.0,5.1,7.8
Song Ji Won,Irish Uppercut,48244,10048,8.5,10.0,9.0,7.0,8.5
Song Ji Won,Sweet Munchies,8395,2081,5.5,7.6,7.1,3.8,5.8
"Song Min Yeop, Hwang In Hyuk",Doctor Prisoner,775,591,8.6,9.5,8.0,6.9,8.5
"Song Min Yeop, Lee Dae Kyung",Youth of May,165,182,10.0,10.0,9.6,9.8,9.9
"Song Min Yeop, Park Jin Suk",School 2017,1462,110,8.0,9.0,8.3,7.4,8.4
Song Soo Lim,A Shoulder to Cry On,4105,560,7.6,7.8,8.3,6.3,7.7
Song Yeon Hwa,Hunted,5181,5925,7.0,9.0,8.7,4.0,7.5
Soo Not Sue,Out of Breath,3357,3090,9.8,9.8,6.8,8.1,9.1
Soo Not Sue,She Makes My Heart Flutter,960,3178,9.2,9.3,8.7,9.5,9.3
Steve Cheng,The [email protected],5459,4995,6.5,7.5,7.5,3.5,7.0
Sun Hye Yoon,Borg Mom,7110,6209,7.0,6.5,4.0,5.0,7.2
Sung Joon Hae,"Bravo, My Life",4233,4883,8.2,9.0,8.0,5.5,8.5
Sung Joon Hae,Home for Summer,6581,5933,6.8,6.8,5.5,5.5,6.8
Sung Joon Hae,No Matter What,6526,7750,7.0,6.4,5.0,5.0,7.2
Sung Yong Il,Duty After School: Part 1,396,718,8.0,8.4,7.8,7.6,8.1
Sung Yong Il,Duty After School: Part 2,7853,1283,4.9,6.6,5.0,3.0,4.7
"Sung Yong Il, Park Ji Hyun",Class of Lies,866,467,7.9,8.8,8.3,5.5,7.8
Teddy Hwang,Roommates of Poongduck 304,2870,570,7.3,8.1,7.5,6.9,7.7
Uh Soo Sun,Gold Mask,6917,6293,6.8,8.2,6.4,4.5,7.1
Uh Soo Sun,Gracious Revenge,6348,7041,5.8,6.5,5.0,3.5,5.8
Uh Soo Sun,Sunny Again Tomorrow,4239,4100,6.7,6.7,5.5,4.2,5.3
Uh Soo Sun,TV Novel: My Mind’s Flower Rain,51825,13156,4.8,4.0,2.2,3.0,4.8
Wang Hye Ryung,Pop Out Boy!,4193,1587,8.1,8.5,8.0,7.5,8.2
Wang Hye Ryung,Seasons of Blossom,643,1205,9.1,8.5,8.3,8.2,8.9
Wang Hye Ryung,The Guilty Secret,5535,3047,7.4,8.2,6.4,6.4,7.0
"Werner du Plessis, Inu Baek",The Eighth Sense,1674,555,8.8,9.4,8.0,8.0,8.8
Xie Di Kui,Woof & Meow – Do you Love Me?,5986,8047,7.0,7.5,5.3,4.5,7.3
Yang Kyung Hee,Kissable Lips,8603,473,5.1,7.5,6.1,3.6,5.5
Yang Kyung Hee,Love Tractor,2342,1099,8.1,8.8,8.5,7.5,8.4
Yang Kyung Hee,The Director Who Buys Me Dinner,6529,679,7.6,8.5,7.5,6.5,7.7
"Yang Kyung Hee, Yang Kyeong Hui",The Tasty Florida,6367,754,6.1,7.4,8.0,5.9,6.9
Yoo Hak Chan,Adult Trainee,3119,646,7.9,8.1,7.0,6.8,7.5
Yoo Hak Chan,Top Star Yoo Baek,4632,2485,7.2,8.2,7.6,6.8,7.4
Yoo Hee Woon,4 Reasons Why I Hate Christmas,5422,3709,7.4,8.0,7.1,6.2,7.5
Yoo Hee Woon,Growing Season,1668,2091,8.1,8.9,7.1,6.5,8.3
Yoo Hee Woon,Love Playlist Season 4,1067,2157,8.7,9.0,9.1,7.4,8.7
Yoo Hyun Ki,Soul Mechanic,3114,1421,8.7,9.2,8.1,7.0,8.4
Yoo Hyun Ki,The Empire,7492,5693,6.1,8.6,5.9,5.4,5.5
"Yoo Hyun Ki, Kim Min Kyung",Matrimonial Chaos,2916,2728,7.5,8.9,7.4,6.0,7.6
Yoo In Shik,Dr. Romantic Season 3,50,706,8.8,9.5,9.2,8.2,9.0
Yoo In Shik,Extraordinary Attorney Woo,60,55,6.5,8.5,6.6,5.9,7.2
Yoo In Shik,Vagabond,502,74,7.7,9.3,8.1,5.7,7.4
"Yoo In Shik, Lee Gil Bok",Dr. Romantic Season 2,185,168,7.8,8.8,8.8,6.4,8.2
"Yoo In Shik, Park Soo Jin",Dr. Romantic,245,116,8.5,9.7,8.0,7.5,9.0
Yoo Je Won,Abyss,3036,67,4.9,7.3,6.1,3.6,5.5
Yoo Je Won,Crash Course in Romance,585,244,7.3,8.0,6.3,4.5,6.9
Yoo Je Won,"Hi Bye, Mama!",504,253,7.5,8.9,7.7,6.4,7.8
Yoo Je Won,Hometown Cha-Cha-Cha,197,42,7.4,8.6,7.9,6.8,7.7
Yoo Je Won,Oh My Ghost,1003,48,7.5,9.0,7.5,6.8,7.9
Yoo Je Won,The Smile Has Left Your Eyes,1041,132,8.0,9.2,8.8,7.3,8.4
Yoo Je Won,Tomorrow With You,2114,205,8.3,8.8,8.8,7.4,8.4
Yoo Jong Sun,Designated Survivor: 60 Days,400,937,8.5,9.1,8.0,7.1,8.4
Yoo Jong Sun,Secret Royal Inspector & Joy,2898,807,7.5,8.3,7.5,5.6,7.7
"Yoo Jong Sun, Kim Seung Woo",Pale Moon,42476,6397,10.0,10.0,10.0,9.0,10.0
Yoo Jung Joon,Love (ft. Marriage and Divorce),8421,1788,5.8,7.6,6.3,3.7,4.9
Yoo Jung Joon,Love (ft. Marriage and Divorce) Season 2,6395,2969,5.5,7.2,7.1,4.9,5.5
Yoo Jung Joon,Love (ft. Marriage and Divorce) Season 3,8498,4249,3.7,6.9,6.0,3.4,3.8
Yoo Kwan Mo,Police University,2560,518,6.9,7.8,6.9,5.0,7.0
Yoo Seon Dong,Bad and Crazy,423,171,6.5,8.3,7.2,5.8,7.0
Yoo Seon Dong,The Uncanny Counter,125,70,7.8,9.0,8.2,7.2,8.2
Yoo Young Eun,Bloody Heart,1321,1389,8.9,9.1,7.3,7.1,8.5
Yoo Young Eun,How to Buy a Friend,3147,1429,7.8,8.8,7.7,5.9,8.1
"Yoo Young Eun, Choi Yoon Seok",Queen of Mystery Season 2,2357,2473,6.1,8.1,6.1,4.9,6.3
"Yoo Young Eun, Park Man Young",Manhole,7573,1449,7.2,7.4,5.6,4.8,6.8
"Yoo Young Sun, Park Sun Jae, Lim Kyeong Taek",Midnight Thriller,42267,15980,9.5,9.5,8.0,9.0,9.5
Yoon Chang Bum,First Love Again,56186,8799,9.4,9.5,8.5,8.6,9.2
Yoon Chang Bum,Marry Me Now,2682,2207,8.2,9.1,7.9,6.7,8.1
Yoon Jae Moon,A Pledge to God,4591,4658,7.8,8.5,6.8,6.3,7.8
Yoon Jae Moon,Blow Breeze,7928,4718,1.8,3.7,1.7,1.0,2.0
Yoon Ji Hoon,Next Door Witch J,7523,3390,6.3,8.2,7.1,5.7,6.7
Yoon Jong Bin,Narco-Saints,1816,1675,7.9,8.9,7.4,5.7,7.5
Yoon Jong Ho,Times,4073,2638,7.2,8.5,7.2,4.4,7.2
Yoon Joon Ho,Cherry Blossoms After Winter,3252,307,6.5,6.7,6.9,5.2,6.9
Yoon Joon Ho,Justice Team,47926,12794,8.0,8.0,5.0,5.0,8.0
Yoon Ra Young,Hit the Spot,877,1340,9.0,9.3,7.9,8.1,9.0
Yoon Ryu Hae,Gangnam Scandal,6752,3961,6.8,7.1,4.2,5.8,7.1
Yoon Ryu Hae,Want a Taste?,54959,9284,4.0,4.8,3.8,2.1,3.4
Yoon Ryu Hae,You Are a Gift,57892,11713,7.0,6.2,5.0,4.8,7.5
Yoon Sang Ho,Curtain Call,3637,1853,7.3,8.5,7.0,5.0,7.5
Yoon Sang Ho,Different Dreams,2750,3204,7.2,8.6,7.4,6.6,7.2
Yoon Sang Ho,Jinxed at First,6873,914,4.8,6.1,5.4,2.2,5.0
Yoon Sang Ho,King Maker: The Change of Destiny,3314,2668,8.3,8.6,8.7,5.8,8.2
Yoon Sang Ho,River Where the Moon Rises,2545,786,7.1,8.6,7.9,5.8,7.4
Yoon Sang Ho,"Saimdang, Light’s Diary",2714,1946,6.8,8.4,8.0,4.7,7.3
Yoon Sung Ho,Political Fever,45911,7868,7.0,8.0,7.5,5.0,8.5
Yoon Sung Ho,Top Management,4532,810,7.5,8.4,8.4,6.8,8.1
"Yoon Sung Ho, Park Dong Hoon",Women at a Game Company,7959,4729,7.0,7.0,6.2,5.2,6.8
"Yoon Sung Ho, Park Hyun Jin",Idol Fever,56192,7532,6.0,8.0,5.8,4.2,5.8
Yoon Sung Shik,Cleaning Up,4945,3760,7.2,8.1,6.4,3.8,6.8
Yoon Sung Shik,Mr. Queen,48,77,9.6,9.7,9.2,9.2,9.6
Yoon Sung Shik,Tower of Babel,6607,3409,8.8,8.7,7.3,8.0,8.7
"Yoon Sung Shik, Kim Young Jo",Hwarang,1998,45,6.3,8.6,8.2,6.2,7.4
"You Su Min, Park Dhan Hee",Weak Hero Class 1,15,179,9.1,9.7,9.3,8.7,9.3
